id,realtionship_status,Industry,genre,Targeted Sex,average_min_perweek,Airtime,airlocation,ratings,expensive,money_back_guarantee
178,Never-married,Political,Comedy,Male,20,Morning,United-States,0.037464672,High,No
185,Divorced,Entertainment,Comedy,Male,30,Primetime,United-States,0.037464672,High,No
197,Widowed,Entertainment,Comedy,Male,3,Daytime,United-States,0.037464672,Low,Yes
203,Divorced,ClassAction,Comedy,Male,45,Primetime,United-States,0.037464672,Medium,No
210,Married-civ-spouse,Pharma,Infomercial,Female,40,Primetime,United-States,0.037464672,Medium,No
211,Married-civ-spouse,Other,Comedy,Male,12,Primetime,United-States,0.037464672,Low,No
214,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Medium,No
220,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
228,Divorced,Auto,Comedy,Male,40,Morning,United-States,0.037464672,High,Yes
232,Separated,Auto,Comedy,Female,35,Primetime,United-States,0.037464672,High,Yes
235,Married-civ-spouse,Other,Comedy,Male,40,Morning,United-States,0.037464672,Low,Yes
250,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.173579841,Low,Yes
253,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.037464672,Medium,No
255,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.037464672,High,Yes
257,Never-married,Political,Comedy,Male,52,Morning,United-States,0.037464672,High,Yes
266,Married-civ-spouse,Pharma,Infomercial,Female,40,Daytime,Haiti,0.037464672,Low,No
267,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.037464672,High,No
271,Married-civ-spouse,Pharma,Comedy,Female,60,Primetime,United-States,0.037464672,Low,No
282,Never-married,Political,Comedy,Female,12,Morning,United-States,0.037464672,High,Yes
285,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
286,Separated,ClassAction,Comedy,Male,40,Daytime,United-States,0.037464672,Low,No
295,Divorced,Entertainment,Comedy,Male,35,Primetime,United-States,0.29810451,Low,Yes
303,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
319,Divorced,Auto,Infomercial,Male,40,Primetime,United-States,0.037464672,Medium,No
326,Divorced,Entertainment,Infomercial,Male,40,Morning,United-States,0.037464672,High,Yes
333,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.09844101,High,Yes
336,Never-married,Political,Comedy,Male,40,Morning,United-States,0.037464672,High,Yes
338,Divorced,Auto,Infomercial,Male,40,Primetime,United-States,0.037464672,Low,No
343,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
353,Married-civ-spouse,Pharma,Infomercial,Female,40,Primetime,United-States,0.09844101,High,No
357,Separated,Entertainment,Comedy,Male,40,Morning,United-States,0.037464672,Low,No
362,Married-civ-spouse,Pharma,Comedy,Female,40,Daytime,United-States,0.037464672,Medium,No
372,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,Medium,No
379,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.037464672,High,Yes
386,Married-civ-spouse,Auto,Comedy,Female,24,Primetime,International,0.037464672,High,Yes
391,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
401,Divorced,Auto,Comedy,Female,60,Primetime,United-States,0.037464672,Medium,No
411,Married-civ-spouse,Pharma,Comedy,Female,45,Primetime,United-States,0.037464672,High,Yes
413,Never-married,Auto,Comedy,Male,40,Primetime,England,0.037464672,High,No
417,Divorced,Entertainment,Comedy,Male,32,Primetime,United-States,0.037464672,High,No
422,Never-married,Political,Comedy,Male,30,Morning,United-States,0.037464672,Low,No
426,Never-married,Political,Drama,Female,16,Morning,Laos,0.037464672,Medium,No
428,Married-civ-spouse,Political,Comedy,Male,38,Primetime,United-States,0.102233936,Low,Yes
431,Never-married,Entertainment,Comedy,Male,20,Morning,United-States,0.037464672,High,Yes
433,Never-married,Auto,Infomercial,Female,10,Morning,United-States,0.037464672,High,Yes
438,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
462,Never-married,Political,Comedy,Female,25,Morning,United-States,0.037464672,High,Yes
467,Divorced,Auto,Comedy,Male,16,Primetime,United-States,0.037464672,Medium,No
471,Never-married,ClassAction,Comedy,Female,50,Morning,United-States,0.037464672,High,Yes
474,Married-civ-spouse,Pharma,Comedy,Female,40,Daytime,United-States,0.037464672,Low,No
490,Married-civ-spouse,Pharma,Comedy,Female,55,Morning,United-States,0.037464672,High,No
508,Divorced,Auto,Drama,Male,40,Primetime,United-States,0.037464672,High,No
516,Divorced,Entertainment,Infomercial,Male,50,Primetime,United-States,0.037464672,Low,Yes
528,Married-civ-spouse,Pharma,Comedy,Female,50,Morning,United-States,0.037464672,Low,No
541,Married-civ-spouse,Pharma,Comedy,Female,16,Daytime,United-States,0.037464672,High,Yes
543,Never-married,Political,Infomercial,Female,40,Morning,United-States,0.037464672,High,No
545,Never-married,Political,Comedy,Male,45,Morning,United-States,0.037464672,High,No
552,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,Yes
564,Married-civ-spouse,Pharma,Comedy,Female,38,Primetime,United-States,0.037464672,High,No
575,Never-married,Auto,Comedy,Female,50,Morning,United-States,0.037464672,High,Yes
590,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Medium,No
594,Married-AF-spouse,Pharma,Comedy,Female,38,Morning,United-States,0.037464672,Low,No
597,Divorced,Auto,Comedy,Male,40,Morning,Mexico,0.037464672,High,Yes
602,Divorced,Entertainment,Comedy,Female,40,Primetime,United-States,0.037464672,High,No
608,Never-married,Entertainment,Infomercial,Male,45,Morning,United-States,0.037464672,High,Yes
610,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,High,Yes
616,Married-civ-spouse,Pharma,Comedy,Female,5,Daytime,United-States,0.037464672,Low,Yes
622,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,Japan,0.173579841,High,Yes
625,Married-civ-spouse,Pharma,Comedy,Female,45,Morning,United-States,0.037464672,Low,No
631,Never-married,Auto,Comedy,Male,32,Morning,United-States,0.037464672,High,Yes
632,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
633,Widowed,Entertainment,Comedy,Male,35,Daytime,Germany,0.037464672,High,Yes
649,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
650,Never-married,Auto,Comedy,Female,40,Primetime,United-States,0.074020404,High,Yes
666,Married-civ-spouse,Pharma,Comedy,Female,42,Primetime,United-States,0.057642745,Low,Yes
670,Married-civ-spouse,Pharma,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
674,Never-married,Auto,Comedy,Male,35,Primetime,United-States,0.037464672,High,Yes
677,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.037464672,Low,No
680,Married-civ-spouse,Pharma,Drama,Female,36,Morning,China,0.102233936,High,Yes
681,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,High,Yes
685,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,Yes
686,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.057642745,High,Yes
687,Never-married,Political,Comedy,Male,40,Morning,United-States,0.037464672,High,No
693,Never-married,Political,Comedy,Male,45,Morning,United-States,0.037464672,High,Yes
704,Married-civ-spouse,Pharma,Drama,Female,55,Primetime,India,0.037464672,High,Yes
709,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.037464672,Low,No
711,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,No
714,Never-married,ClassAction,Drama,Female,40,Morning,India,0.037464672,Medium,No
718,Married-civ-spouse,Other,Infomercial,Male,40,Primetime,United-States,0.060638184,Low,Yes
730,Married-civ-spouse,Other,Comedy,Male,42,Morning,United-States,0.037464672,High,Yes
736,Married-civ-spouse,Pharma,Comedy,Female,60,Morning,United-States,0.037464672,High,Yes
740,Divorced,Auto,Comedy,Female,60,Primetime,United-States,0.037464672,High,No
742,Married-civ-spouse,Pharma,Comedy,Female,45,Primetime,Germany,0.037464672,Medium,No
747,Married-civ-spouse,Other,Comedy,Male,30,Primetime,United-States,0.037464672,Medium,Yes
749,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.173579841,High,No
757,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,High,Yes
773,Never-married,Auto,Comedy,Male,35,Morning,United-States,0.037464672,High,No
776,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
790,Married-civ-spouse,Pharma,Comedy,Female,45,Morning,United-States,0.037464672,High,No
795,Married-civ-spouse,Other,Comedy,Male,40,Morning,United-States,0.037464672,Medium,No
797,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
799,Never-married,Political,Comedy,Male,10,Morning,United-States,0.037464672,High,No
804,Never-married,Entertainment,Infomercial,Male,40,Primetime,United-States,0.037464672,High,Yes
805,Married-civ-spouse,Pharma,Comedy,Female,60,Primetime,United-States,0.037464672,High,Yes
808,Married-civ-spouse,Other,Comedy,Male,40,Primetime,Nicaragua,0.037464672,High,No
812,Married-civ-spouse,Pharma,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
817,Never-married,Political,Comedy,Female,15,Morning,United-States,0.037464672,High,Yes
819,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
820,Divorced,Auto,Comedy,Female,50,Primetime,United-States,0.037464672,High,Yes
825,Never-married,Auto,Comedy,Male,38,Morning,United-States,0.037464672,Low,No
829,Married-civ-spouse,Pharma,Comedy,Female,92,Primetime,United-States,0.037464672,High,No
848,Never-married,Auto,Comedy,Female,15,Morning,United-States,0.037464672,Low,No
851,Married-civ-spouse,Pharma,Comedy,Female,40,Daytime,United-States,0.055522597,Low,No
853,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,High,No
858,Married-civ-spouse,Other,Comedy,Male,40,Primetime,United-States,0.037464672,High,No
861,Married-civ-spouse,Pharma,Comedy,Female,45,Morning,United-States,0.037464672,Low,No
867,Married-civ-spouse,Pharma,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
869,Married-civ-spouse,Pharma,Comedy,Female,60,Primetime,United-States,0.037464672,High,Yes
872,Divorced,Auto,Comedy,Female,45,Primetime,United-States,0.037464672,Medium,No
873,Married-civ-spouse,Other,Comedy,Male,25,Morning,United-States,0.037464672,High,No
874,Never-married,Political,Comedy,Female,40,Morning,International,0.037464672,High,No
883,Never-married,ClassAction,Comedy,Female,40,Morning,Mexico,0.037464672,Low,No
884,Married-civ-spouse,Pharma,Comedy,Female,40,Morning,United-States,0.037464672,Medium,No
885,Divorced,Entertainment,Comedy,Female,40,Primetime,Mexico,0.037464672,Low,No
888,Married-civ-spouse,Pharma,Comedy,Female,60,Primetime,United-States,0.037464672,High,Yes
896,Married-civ-spouse,Pharma,Comedy,Female,40,Morning,United-States,0.037464672,High,No
897,Married-civ-spouse,Pharma,Comedy,Female,45,Morning,United-States,0.037464672,High,Yes
901,Married-civ-spouse,Pharma,Drama,Female,50,Primetime,Japan,0.071307003,High,No
909,Married-civ-spouse,Pharma,Drama,Female,40,Primetime,United-States,0.037464672,Low,No
912,Never-married,Political,Comedy,Male,15,Morning,United-States,0.037464672,High,Yes
913,Divorced,Entertainment,Comedy,Male,37,Primetime,United-States,0.037464672,High,Yes
917,Married-civ-spouse,Pharma,Comedy,Female,24,Daytime,United-States,0.037464672,High,No
919,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
920,Married-civ-spouse,Pharma,Direct,Female,55,Primetime,Guatemala,0.037464672,Low,No
927,Separated,Political,Comedy,Female,40,Morning,United-States,0.037464672,High,No
932,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
937,Married-civ-spouse,Other,Comedy,Male,35,Primetime,United-States,0.037464672,High,Yes
942,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
951,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.037464672,High,Yes
952,Never-married,Political,Infomercial,Female,40,Morning,United-States,0.037464672,Low,No
953,Never-married,Auto,Comedy,Female,35,Morning,United-States,0.037464672,High,Yes
956,Married-civ-spouse,Pharma,Comedy,Female,80,Primetime,United-States,0.037464672,Low,Yes
965,Never-married,Auto,Comedy,Female,77,Morning,United-States,0.037464672,High,No
966,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,Yes
967,Never-married,Political,Comedy,Male,20,Morning,United-States,0.037464672,High,Yes
975,Divorced,Political,Comedy,Female,40,Morning,Mexico,0.037464672,High,Yes
977,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Medium,No
983,Never-married,Auto,Infomercial,Female,35,Morning,United-States,0.037464672,Low,Yes
986,Married-civ-spouse,Pharma,Comedy,Female,45,Primetime,United-States,0.037464672,High,Yes
999,Never-married,Political,Comedy,Male,55,Morning,United-States,0.037464672,High,No
1001,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
1002,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Medium,No
1003,Divorced,Entertainment,Comedy,Male,40,Primetime,United-States,0.037464672,Low,No
1007,Married-civ-spouse,Pharma,Other,Female,40,Morning,United-States,0.037464672,High,No
1009,Divorced,Auto,Comedy,Female,60,Primetime,United-States,0.037464672,Medium,No
1014,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
1015,Married-civ-spouse,Other,Infomercial,Male,40,Primetime,United-States,0.037464672,Medium,No
1031,Married-civ-spouse,Pharma,Comedy,Female,50,Morning,United-States,0.037464672,High,Yes
1034,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
1041,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,Low,No
1046,Married-civ-spouse,Pharma,Comedy,Female,55,Primetime,Germany,0.037464672,High,Yes
1051,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Medium,No
1058,Divorced,Entertainment,Infomercial,Male,40,Primetime,United-States,0.037464672,High,Yes
1062,Divorced,Entertainment,Comedy,Male,40,Primetime,United-States,0.037464672,High,Yes
1069,Married-civ-spouse,Pharma,Comedy,Female,4,Morning,United-States,0.037464672,High,No
1072,Never-married,Auto,Comedy,Female,48,Morning,United-States,0.037464672,Low,No
1081,Married-civ-spouse,Pharma,Comedy,Female,48,Morning,United-States,0.037464672,High,Yes
1082,Never-married,Auto,Comedy,Female,60,Morning,United-States,0.037464672,High,Yes
1085,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
1088,Never-married,Auto,Comedy,Male,35,Primetime,United-States,0.037464672,Low,No
1090,Never-married,ClassAction,Comedy,Male,40,Primetime,United-States,0.037464672,High,Yes
1092,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
1102,Never-married,Auto,Comedy,Female,45,Primetime,United-States,0.037464672,Medium,No
1103,Married-civ-spouse,Other,Comedy,Male,43,Primetime,United-States,0.037464672,Medium,No
1104,Divorced,Entertainment,Comedy,Female,50,Primetime,United-States,0.037464672,High,Yes
1106,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.037464672,High,Yes
1109,Never-married,Political,Comedy,Male,25,Morning,United-States,0.037464672,High,Yes
1114,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
1117,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,Medium,No
1118,Married-civ-spouse,Pharma,Comedy,Female,20,Daytime,United-States,0.037464672,High,Yes
1121,Never-married,Political,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
1125,Married-civ-spouse,Pharma,Comedy,Female,15,Daytime,United-States,0.037464672,Medium,Yes
1126,Never-married,Auto,Comedy,Male,36,Morning,United-States,0.037464672,Low,No
1129,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,Canada,0.037464672,Low,No
1136,Separated,ClassAction,Comedy,Female,60,Morning,United-States,0.037464672,High,No
1144,Never-married,Political,Comedy,Female,55,Morning,United-States,0.037464672,High,Yes
1145,Married-spouse-absent,Auto,Comedy,Female,12,Primetime,United-States,0.037464672,High,No
1152,Never-married,Auto,Comedy,Female,45,Morning,United-States,0.037464672,Low,Yes
1168,Married-civ-spouse,Pharma,Infomercial,Female,40,Daytime,United-States,0.037464672,High,Yes
1173,Never-married,Auto,Comedy,Female,45,Morning,United-States,0.037464672,High,Yes
1177,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.057642745,Medium,No
1179,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,Cuba,0.037464672,High,No
1180,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,International,0.037464672,High,No
1181,Never-married,Auto,Comedy,Female,35,Morning,United-States,0.037464672,High,No
1194,Married-civ-spouse,Pharma,Comedy,Female,10,Daytime,United-States,0.037464672,High,Yes
1195,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,High,Yes
1199,Never-married,Political,Comedy,Male,40,Morning,United-States,0.037464672,Low,Yes
1200,Divorced,Entertainment,Comedy,Male,38,Primetime,United-States,0.037464672,High,No
1204,Married-civ-spouse,Pharma,Comedy,Female,48,Morning,United-States,0.037464672,Low,No
1206,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.03324159,Low,No
1213,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,Yes
1215,Married-civ-spouse,Pharma,Other,Female,40,Primetime,Dominican-Republic,0.037464672,High,Yes
1217,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,International,0.037464672,High,Yes
1228,Married-civ-spouse,Pharma,Comedy,Female,30,Daytime,United-States,0.037464672,High,No
1232,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,Mexico,0.429223034,High,No
1234,Never-married,Auto,Comedy,Female,45,Morning,United-States,0.037464672,Low,No
1239,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.173579841,High,Yes
1241,Widowed,Auto,Comedy,Male,40,Primetime,United-States,0.037464672,Low,Yes
1248,Never-married,Auto,Comedy,Male,32,Primetime,United-States,0.037464672,Low,Yes
1249,Never-married,Political,Comedy,Male,40,Morning,United-States,0.059801795,High,Yes
1275,Married-civ-spouse,Pharma,Comedy,Female,60,Primetime,United-States,0.037464672,Medium,Yes
1277,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Medium,No
1279,Never-married,Political,Comedy,Female,40,Morning,United-States,0.037464672,High,No
1280,Married-civ-spouse,Pharma,Comedy,Female,40,Daytime,United-States,0.037464672,Medium,No
1291,Never-married,Entertainment,Comedy,Female,55,Morning,United-States,0.037464672,Medium,No
1294,Never-married,Political,Comedy,Female,20,Morning,United-States,0.037464672,Low,No
1299,Married-civ-spouse,Pharma,Drama,Female,60,Primetime,South,0.037464672,High,Yes
1303,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,No
1305,Never-married,Auto,Drama,Female,50,Morning,India,0.037464672,Medium,No
1306,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.037464672,Low,No
1311,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
1317,Married-civ-spouse,Pharma,Drama,Female,50,Primetime,South,0.037464672,High,No
1327,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
1334,Never-married,Auto,Comedy,Female,40,Primetime,United-States,0.037464672,High,No
1342,Married-civ-spouse,Other,Comedy,Male,40,Primetime,El-Salvador,0.037464672,High,No
1344,Never-married,Political,Infomercial,Female,30,Primetime,United-States,0.037464672,Medium,No
1352,Separated,Auto,Infomercial,Male,40,Primetime,United-States,0.037464672,High,No
1358,Never-married,ClassAction,Infomercial,Female,16,Morning,United-States,0.037464672,Low,Yes
1360,Never-married,Political,Comedy,Male,20,Morning,United-States,0.037464672,High,No
1363,Divorced,Entertainment,Comedy,Male,40,Primetime,United-States,0.037464672,High,Yes
1375,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,Low,Yes
1377,Never-married,Auto,Comedy,Male,40,Morning,Dominican-Republic,0.037464672,Medium,No
1379,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.037464672,Low,Yes
1387,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,Low,No
1398,Married-civ-spouse,Other,Comedy,Male,40,Primetime,United-States,0.037464672,Low,Yes
1405,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Medium,No
1410,Married-civ-spouse,Other,Comedy,Male,20,Primetime,United-States,0.076218356,Low,No
1412,Never-married,Political,Infomercial,Female,40,Morning,Haiti,0.037464672,High,Yes
1416,Divorced,Entertainment,Infomercial,Female,30,Primetime,United-States,0.037464672,Low,No
1417,Divorced,Entertainment,Comedy,Male,24,Daytime,United-States,0.037464672,Low,No
1425,Never-married,Political,Comedy,Female,15,Morning,United-States,0.037464672,Low,No
1431,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.037464672,High,Yes
1432,Never-married,Auto,Comedy,Male,37,Morning,United-States,0.037464672,High,Yes
1433,Never-married,Political,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
1447,Never-married,Auto,Infomercial,Female,40,Primetime,United-States,0.037464672,High,Yes
1451,Widowed,Entertainment,Infomercial,Male,30,Primetime,United-States,0.037464672,Low,Yes
1453,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,High,Yes
1456,Never-married,Auto,Comedy,Female,55,Morning,United-States,0.037464672,High,No
1458,Never-married,Political,Comedy,Male,8,Morning,United-States,0.037464672,High,Yes
1459,Separated,Auto,Comedy,Female,50,Primetime,United-States,0.037464672,Low,Yes
1471,Never-married,Political,Comedy,Male,40,Morning,United-States,0.037464672,High,Yes
1477,Never-married,ClassAction,Comedy,Male,20,Morning,United-States,0.037464672,High,No
1479,Never-married,Political,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
1481,Married-civ-spouse,Other,Infomercial,Male,40,Primetime,United-States,0.037464672,High,Yes
1482,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,International,0.037464672,Low,Yes
1485,Married-civ-spouse,Pharma,Comedy,Female,50,Primetime,United-States,0.037464672,High,Yes
1487,Divorced,Entertainment,Direct,Male,32,Primetime,Puerto-Rico,0.037464672,Medium,No
1492,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
1502,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
1506,Never-married,Political,Comedy,Female,40,Morning,United-States,0.037464672,Low,No
1512,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
1520,Never-married,Auto,Comedy,Male,50,Primetime,United-States,0.037464672,Medium,No
1527,Never-married,Auto,Comedy,Female,45,Primetime,United-States,0.159244527,High,Yes
1534,Married-civ-spouse,Other,Comedy,Male,35,Primetime,Mexico,0.037464672,High,Yes
1535,Divorced,Auto,Comedy,Female,45,Primetime,United-States,0.037464672,High,Yes
1547,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
1558,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.111239703,Low,No
1561,Never-married,Political,Comedy,Female,25,Morning,United-States,0.037464672,High,Yes
1570,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,High,Yes
1572,Married-civ-spouse,Pharma,Comedy,Female,40,Morning,United-States,0.037464672,High,Yes
1574,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.037464672,High,Yes
1577,Married-civ-spouse,Pharma,Infomercial,Female,40,Primetime,United-States,0.037464672,Low,No
1584,Separated,Auto,Comedy,Female,40,Primetime,England,0.037464672,Low,Yes
1585,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
1589,Divorced,Auto,Comedy,Female,55,Primetime,United-States,0.037464672,Low,No
1596,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,Portugal,0.064236601,High,Yes
1601,Married-civ-spouse,Pharma,Comedy,Female,40,Primetime,United-States,0.037464672,Low,No
1608,Never-married,ClassAction,Comedy,Female,60,Morning,United-States,0.037464672,High,No
