id,realtionship_status,industry,genre,Targeted Sex,average_min_perweek,Airtime,airlocation,ratings,expensive,money_back_guarantee,netgain
23030,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
5834,Divorced,Auto,Comedy,Female,50,Morning,United-States,0.027464672,Low,Yes,TRUE
10943,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672,Low,Yes,FALSE
12404,Never-married,Political,Comedy,Female,24,Morning,International,0.027464672,Low,Yes,FALSE
14186,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,TRUE
15684,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672,Low,Yes,FALSE
22903,Divorced,Auto,Infomercial,Male,40,Primetime,United-States,0.027464672,High,Yes,FALSE
24194,Widowed,Auto,Comedy,Male,6,Daytime,United-States,0.027464672,Low,Yes,FALSE
23935,Widowed,Auto,Comedy,Female,35,Primetime,United-States,0.027464672,Low,No,FALSE
17767,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.027464672,High,No,FALSE
19471,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.027464672,High,No,FALSE
997,Married-civ-spouse,Other,Comedy,Female,12,Primetime,United-States,0.027464672,Low,Yes,TRUE
13444,Widowed,Auto,Comedy,Female,60,Primetime,United-States,0.027464672,High,Yes,FALSE
22487,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672,Low,No,FALSE
17002,Divorced,Entertainment,Comedy,Female,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
5767,Divorced,Entertainment,Comedy,Female,73,Primetime,United-States,0.027464672,Low,Yes,FALSE
15095,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,FALSE
11603,Married-civ-spouse,Pharma,Drama,Male,45,Primetime,India,0.027464672,Low,Yes,FALSE
26237,Never-married,Political,Infomercial,Female,24,Morning,Mexico,0.027464672,Low,No,FALSE
15786,Never-married,Political,Infomercial,Male,30,Morning,United-States,0.027464672,Low,Yes,FALSE
11853,Never-married,Auto,Comedy,Male,32,Morning,Mexico,0.027464672,Low,Yes,FALSE
18031,Married-civ-spouse,Other,Infomercial,Female,40,Daytime,United-States,0.027464672,Low,No,FALSE
19033,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,Poland,0.027464672,Low,Yes,TRUE
29447,Widowed,Auto,Comedy,Male,45,Primetime,United-States,0.027464672,Low,No,TRUE
16971,Divorced,Auto,Comedy,Male,30,Primetime,United-States,0.027464672,High,Yes,FALSE
5931,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
3080,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672,High,No,FALSE
32519,Married-civ-spouse,Pharma,Comedy,Male,60,Primetime,United-States,0.027464672,Low,Yes,TRUE
31574,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672,High,Yes,FALSE
27390,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672,Low,Yes,TRUE
7404,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672,High,No,FALSE
9658,Separated,Auto,Comedy,Male,25,Primetime,United-States,0.027464672,Low,No,FALSE
4085,Married-civ-spouse,Other,Comedy,Female,35,Primetime,United-States,0.102233936,High,No,TRUE
227,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,FALSE
20494,Never-married,Political,Comedy,Male,30,Morning,United-States,0.027464672,High,No,FALSE
15675,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672,High,No,FALSE
8276,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,High,Yes,TRUE
28782,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672,Medium,No,FALSE
3812,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,Poland,0.027464672,Low,Yes,FALSE
19038,Divorced,Entertainment,Comedy,Male,60,Primetime,United-States,0.027464672,Low,Yes,TRUE
8544,Never-married,Political,Comedy,Female,20,Morning,United-States,0.027464672,Low,No,FALSE
6411,Never-married,Political,Comedy,Male,25,Morning,United-States,0.027464672,High,No,FALSE
28028,Married-civ-spouse,Other,Comedy,Female,40,Primetime,United-States,0.027464672,Low,Yes,TRUE
29539,Never-married,Auto,Comedy,Male,36,Morning,United-States,0.027464672,Low,Yes,FALSE
14439,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.027464672,Medium,No,FALSE
6312,Never-married,Auto,Comedy,Male,20,Morning,United-States,0.027464672,High,No,FALSE
8672,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,FALSE
12941,Never-married,Political,Infomercial,Male,40,Morning,United-States,0.027464672,Low,Yes,FALSE
22184,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,TRUE
24973,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
3445,Never-married,Entertainment,Infomercial,Female,40,Primetime,United-States,0.027464672,High,No,FALSE
28862,Widowed,Entertainment,Comedy,Female,40,Daytime,United-States,0.027464672,Low,Yes,FALSE
62,Divorced,Auto,Comedy,Male,40,Morning,United-States,0.027464672,Low,Yes,FALSE
23358,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,FALSE
28741,Married-civ-spouse,Pharma,Comedy,Male,3,Daytime,United-States,0.027464672,High,No,FALSE
28859,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,TRUE
19068,Never-married,Political,Comedy,Male,20,Morning,United-States,0.027464672,Low,Yes,FALSE
3158,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,TRUE
27104,Married-civ-spouse,Pharma,Comedy,Male,60,Primetime,United-States,0.027464672,High,No,TRUE
3030,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
23729,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.057973411,Low,No,FALSE
14089,Married-civ-spouse,Political,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,FALSE
3478,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672,Low,Yes,FALSE
8131,Separated,Political,Comedy,Female,35,Morning,United-States,0.027464672,High,Yes,FALSE
2927,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672,High,No,FALSE
26825,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,TRUE
3901,Never-married,Auto,Comedy,Female,70,Morning,United-States,0.027464672,Medium,No,FALSE
18324,Divorced,Entertainment,Comedy,Female,30,Morning,United-States,0.027464672,Low,No,FALSE
31577,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
21094,Divorced,Entertainment,Comedy,Female,55,Daytime,United-States,0.111239703,Medium,No,TRUE
25341,Never-married,ClassAction,Comedy,Female,40,Primetime,United-States,0.027464672,Medium,No,FALSE
5240,Never-married,Auto,Comedy,Female,38,Morning,United-States,0.027464672,Low,Yes,FALSE
28311,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672,High,Yes,FALSE
21971,Never-married,Auto,Comedy,Male,80,Morning,United-States,0.027464672,Medium,No,FALSE
13270,Separated,Entertainment,Comedy,Female,35,Primetime,United-States,0.027464672,Low,Yes,FALSE
11797,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,High,Yes,TRUE
12658,Never-married,Political,Infomercial,Female,38,Primetime,United-States,0.027464672,Low,No,FALSE
17252,Never-married,Auto,Drama,Male,35,Morning,South,0.027464672,High,No,FALSE
23449,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.027464672,High,No,FALSE
16804,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
4552,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672,Medium,No,TRUE
2831,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672,Low,Yes,TRUE
600,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.027464672,Low,Yes,FALSE
20590,Never-married,ClassAction,Drama,Male,40,Morning,South,0.027464672,Low,No,FALSE
14705,Never-married,ClassAction,Comedy,Female,25,Morning,United-States,0.027464672,Low,Yes,FALSE
22835,Never-married,Entertainment,Comedy,Female,40,Morning,United-States,0.027464672,High,Yes,FALSE
4703,Never-married,Political,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,FALSE
22647,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672,Low,No,TRUE
2421,Married-civ-spouse,Pharma,Comedy,Male,60,Primetime,United-States,0.027464672,High,Yes,TRUE
6024,Never-married,Auto,Drama,Female,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
15811,Never-married,Auto,Comedy,Female,55,Morning,United-States,0.027464672,Low,Yes,FALSE
1689,Married-civ-spouse,Pharma,Comedy,Male,65,Primetime,United-States,0.09844101,Low,Yes,TRUE
6246,Never-married,Political,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
14287,Never-married,Auto,Infomercial,Male,46,Primetime,United-States,0.027464672,Low,Yes,FALSE
23596,Married-civ-spouse,Pharma,Comedy,Male,60,Primetime,United-States,0.027464672,Low,No,TRUE
10939,Never-married,Auto,Comedy,Female,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
25488,Married-civ-spouse,Other,Comedy,Female,40,Morning,United-States,0.027464672,Low,Yes,FALSE
21844,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
21968,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,Low,Yes,FALSE
26192,Divorced,Auto,Comedy,Male,60,Primetime,United-States,0.027464672,Low,Yes,FALSE
2293,Married-civ-spouse,Pharma,Comedy,Male,38,Morning,United-States,0.027464672,Low,No,FALSE
6094,Married-civ-spouse,Pharma,Comedy,Male,70,Primetime,United-States,0.027464672,High,Yes,TRUE
29486,Married-civ-spouse,Pharma,Infomercial,Male,40,Primetime,United-States,0.027464672,Medium,No,TRUE
22253,Never-married,Political,Comedy,Male,20,Morning,United-States,0.027464672,Low,No,FALSE
18351,Married-civ-spouse,Pharma,Comedy,Male,15,Daytime,United-States,0.027464672,High,Yes,TRUE
11228,Never-married,Political,Comedy,Male,40,Primetime,Italy,0.027464672,Medium,No,FALSE
9960,Divorced,Entertainment,Comedy,Female,48,Morning,International,0.027464672,Low,Yes,FALSE
19329,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
23620,Never-married,Entertainment,Comedy,Male,30,Morning,United-States,0.027464672,Low,Yes,FALSE
30297,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,International,0.027464672,Low,Yes,FALSE
27720,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.222469681,Low,No,TRUE
32351,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
24945,Widowed,Entertainment,Comedy,Female,42,Primetime,United-States,0.027464672,Medium,No,FALSE
24375,Married-spouse-absent,ClassAction,Drama,Female,45,Primetime,Philippines,0.027464672,Low,No,FALSE
30637,Never-married,Auto,Comedy,Female,45,Morning,United-States,0.027464672,High,Yes,FALSE
25822,Never-married,Auto,Comedy,Female,45,Primetime,Italy,0.027464672,Medium,No,TRUE
18982,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,High,Yes,TRUE
29836,Divorced,ClassAction,Comedy,Female,80,Primetime,United-States,0.027464672,Low,Yes,FALSE
9331,Married-civ-spouse,Pharma,Comedy,Male,56,Primetime,United-States,0.027464672,High,No,TRUE
2207,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672,Low,Yes,FALSE
22255,Married-spouse-absent,ClassAction,Comedy,Male,40,Primetime,United-States,0.027464672,High,Yes,FALSE
27522,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.054977972,Low,No,TRUE
22622,Married-civ-spouse,Pharma,Comedy,Male,45,Morning,United-States,0.027464672,Low,No,FALSE
12514,Never-married,ClassAction,Comedy,Male,40,Morning,United-States,0.027464672,Low,Yes,FALSE
17218,Never-married,Auto,Comedy,Male,15,Morning,United-States,0.027464672,Low,Yes,FALSE
27324,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,International,0.027464672,Medium,No,FALSE
1895,Never-married,Auto,Comedy,Male,40,Primetime,Guatemala,0.038658666,High,No,FALSE
11663,Married-civ-spouse,ClassAction,Comedy,Male,40,Primetime,United-States,0.027464672,High,Yes,FALSE
20862,Never-married,Political,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,FALSE
24816,Married-civ-spouse,Pharma,Comedy,Male,84,Primetime,United-States,0.027464672,Low,Yes,TRUE
3983,Divorced,Entertainment,Comedy,Male,40,Morning,United-States,0.027464672,Low,Yes,FALSE
23143,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,TRUE
12649,Married-civ-spouse,Pharma,Comedy,Male,50,Daytime,United-States,0.089882614,High,Yes,TRUE
31185,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,Low,Yes,FALSE
2308,Never-married,Auto,Comedy,Female,40,Primetime,United-States,0.027464672,Medium,No,FALSE
30030,Never-married,ClassAction,Comedy,Female,50,Primetime,United-States,0.027464672,Low,No,FALSE
662,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,High,No,TRUE
4050,Married-civ-spouse,Pharma,Comedy,Male,48,Morning,United-States,0.027464672,Low,Yes,FALSE
18347,Never-married,Political,Comedy,Female,20,Morning,United-States,0.027464672,Medium,No,FALSE
27019,Married-civ-spouse,Pharma,Comedy,Male,48,Primetime,United-States,0.173579841,Low,No,TRUE
18546,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,FALSE
5750,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672,Low,Yes,FALSE
23719,Never-married,Auto,Comedy,Male,25,Morning,United-States,0.027464672,Low,Yes,FALSE
14873,Married-civ-spouse,Pharma,Comedy,Male,70,Primetime,Columbia,0.027464672,Medium,No,TRUE
3799,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672,High,Yes,FALSE
17040,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672,Low,No,FALSE
1326,Never-married,Entertainment,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
8876,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
25395,Married-civ-spouse,Other,Comedy,Female,40,Morning,United-States,0.054977972,Low,No,FALSE
21301,Married-civ-spouse,Pharma,Comedy,Male,25,Primetime,United-States,0.027464672,High,No,FALSE
25529,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,FALSE
30956,Married-civ-spouse,Pharma,Drama,Male,50,Primetime,Philippines,1,Low,Yes,TRUE
22439,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672,Medium,No,TRUE
2060,Never-married,Auto,Comedy,Female,50,Daytime,United-States,0.027464672,High,Yes,FALSE
18092,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,Low,Yes,TRUE
7608,Married-spouse-absent,Auto,Comedy,Male,30,Primetime,United-States,0.027464672,Low,No,FALSE
19617,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,Low,Yes,FALSE
6376,Never-married,Auto,Comedy,Male,20,Morning,United-States,0.027464672,Low,No,FALSE
7442,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,Medium,No,TRUE
22374,Married-civ-spouse,Pharma,Comedy,Male,38,Primetime,United-States,0.027464672,Low,Yes,TRUE
1406,Married-civ-spouse,Pharma,Comedy,Male,60,Morning,United-States,0.027464672,Medium,Yes,TRUE
10684,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,FALSE
17723,Married-civ-spouse,Pharma,Drama,Male,40,Primetime,Taiwan,0.027464672,Low,Yes,TRUE
13082,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.027464672,High,Yes,FALSE
19898,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
19179,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,Medium,No,TRUE
6129,Married-civ-spouse,Pharma,Infomercial,Male,12,Morning,International,0.027464672,High,No,FALSE
29090,Never-married,ClassAction,Comedy,Female,99,Primetime,Mexico,0.027464672,Low,Yes,FALSE
5404,Never-married,Auto,Comedy,Male,40,Daytime,United-States,0.027464672,Low,Yes,FALSE
16014,Divorced,Entertainment,Comedy,Female,60,Primetime,United-States,0.027464672,Low,Yes,FALSE
3867,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
7140,Married-civ-spouse,Pharma,Comedy,Male,60,Primetime,United-States,0.173579841,Low,Yes,TRUE
25151,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,FALSE
26574,Married-civ-spouse,Pharma,Comedy,Male,65,Primetime,England,0.027464672,Medium,No,TRUE
28444,Married-civ-spouse,Other,Comedy,Female,72,Primetime,United-States,0.027464672,Medium,No,FALSE
16429,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,TRUE
1758,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.027464672,Medium,No,FALSE
24676,Divorced,Entertainment,Comedy,Female,40,Primetime,United-States,0.027464672,Low,No,FALSE
30986,Never-married,Entertainment,Comedy,Female,42,Morning,United-States,0.027464672,High,Yes,FALSE
5819,Divorced,Entertainment,Comedy,Female,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
16494,Never-married,Political,Comedy,Male,20,Morning,United-States,0.027464672,High,No,FALSE
17714,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.027464672,Low,No,FALSE
329,Married-civ-spouse,Pharma,Comedy,Male,48,Primetime,United-States,0.027464672,Medium,Yes,FALSE
705,Never-married,Auto,Comedy,Male,20,Primetime,United-States,0.027464672,Low,Yes,FALSE
4575,Never-married,Political,Infomercial,Female,40,Morning,United-States,0.027464672,High,Yes,FALSE
2183,Never-married,Political,Comedy,Male,45,Morning,United-States,0.027464672,Low,Yes,TRUE
4514,Never-married,Political,Infomercial,Female,40,Morning,United-States,0.027464672,Low,No,FALSE
24530,Never-married,Political,Comedy,Female,25,Morning,United-States,0.027464672,Low,Yes,FALSE
20213,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,TRUE
9733,Separated,Entertainment,Infomercial,Female,16,Primetime,United-States,0.027464672,Low,Yes,FALSE
30409,Never-married,Political,Comedy,Male,30,Morning,Guatemala,0.027464672,Low,Yes,FALSE
13181,Never-married,Political,Comedy,Male,25,Morning,United-States,0.027464672,Low,Yes,FALSE
31509,Never-married,Political,Comedy,Female,40,Morning,Canada,0.027464672,Low,Yes,FALSE
13238,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672,Low,No,FALSE
28033,Divorced,Auto,Comedy,Male,35,Primetime,United-States,0.027464672,High,No,FALSE
32339,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672,Low,Yes,FALSE
964,Separated,Entertainment,Infomercial,Female,40,Primetime,United-States,0.04177081,Low,Yes,FALSE
29703,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,FALSE
3761,Never-married,Political,Drama,Female,38,Morning,United-States,0.027464672,Medium,No,FALSE
1366,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.09844101,Low,Yes,TRUE
19630,Married-civ-spouse,Pharma,Comedy,Male,99,Primetime,United-States,0.027464672,High,No,TRUE
28706,Married-civ-spouse,Other,Comedy,Female,40,Primetime,United-States,0.027464672,High,No,FALSE
30990,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672,Low,No,FALSE
94,Married-civ-spouse,Pharma,Comedy,Male,20,Primetime,United-States,0.027464672,Medium,No,FALSE
788,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,High,Yes,TRUE
27310,Married-civ-spouse,Pharma,Comedy,Male,32,Primetime,United-States,0.027464672,Medium,No,FALSE
12512,Never-married,Auto,Comedy,Male,30,Morning,United-States,0.027464672,High,No,FALSE
6715,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
15547,Never-married,Political,Drama,Female,15,Morning,India,0.027464672,Low,Yes,FALSE
28355,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,FALSE
13515,Never-married,Auto,Comedy,Female,40,Morning,International,0.027464672,Low,Yes,FALSE
23866,Divorced,Entertainment,Comedy,Female,32,Primetime,United-States,0.027464672,Low,Yes,FALSE
11487,Married-civ-spouse,Pharma,Comedy,Male,43,Morning,United-States,0.027464672,Low,Yes,TRUE
12501,Widowed,Auto,Comedy,Female,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
6148,Married-civ-spouse,ClassAction,Comedy,Male,55,Morning,United-States,0.027464672,High,No,FALSE
16249,Divorced,Auto,Comedy,Male,40,Morning,United-States,0.027464672,Low,No,FALSE
18811,Never-married,ClassAction,Comedy,Male,10,Morning,United-States,0.003695671,Low,Yes,TRUE
7254,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672,Low,No,FALSE
17198,Never-married,Auto,Comedy,Female,60,Primetime,United-States,0.027464672,Low,No,FALSE
30535,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,FALSE
7585,Married-civ-spouse,Pharma,Comedy,Male,70,Primetime,United-States,0.061075829,Low,No,FALSE
27176,Never-married,Auto,Infomercial,Male,40,Primetime,United-States,0.027464672,High,No,FALSE
19984,Divorced,Entertainment,Infomercial,Female,40,Primetime,United-States,0.027464672,Low,No,FALSE
10641,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,High,Yes,FALSE
5605,Never-married,ClassAction,Infomercial,Female,20,Morning,United-States,0.027464672,Low,Yes,FALSE
9878,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,High,Yes,TRUE
14979,Divorced,Entertainment,Comedy,Female,48,Primetime,United-States,0.027464672,Low,No,FALSE
30486,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Medium,No,TRUE
30539,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,Low,No,FALSE
1513,Married-civ-spouse,Pharma,Infomercial,Male,30,Primetime,United-States,0.027464672,High,Yes,FALSE
19961,Never-married,Auto,Comedy,Male,38,Primetime,United-States,0.027464672,Low,Yes,FALSE
25079,Married-civ-spouse,Pharma,Infomercial,Male,40,Primetime,United-States,0.027464672,Low,Yes,FALSE
6446,Married-civ-spouse,Other,Direct,Female,60,Morning,United-States,1,High,No,TRUE
13534,Married-civ-spouse,Pharma,Comedy,Male,48,Primetime,United-States,0.027464672,Low,Yes,TRUE
10532,Married-civ-spouse,Pharma,Comedy,Male,20,Daytime,United-States,0.027464672,Low,Yes,FALSE
20139,Married-civ-spouse,Other,Comedy,Female,12,Daytime,United-States,0.027464672,Low,Yes,FALSE
14539,Never-married,Auto,Comedy,Female,24,Morning,International,0.027464672,Low,Yes,FALSE
205,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672,High,Yes,FALSE
18025,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672,Low,Yes,TRUE
23226,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,Germany,0.027464672,Medium,No,TRUE
15370,Never-married,Political,Comedy,Female,35,Morning,United-States,0.027464672,Low,No,FALSE
27648,Never-married,Political,Comedy,Male,10,Morning,United-States,0.027464672,High,Yes,FALSE
8383,Married-civ-spouse,Pharma,Comedy,Male,50,Morning,United-States,0.027464672,High,Yes,FALSE
14999,Never-married,Auto,Comedy,Male,50,Morning,United-States,0.027464672,High,Yes,FALSE
8917,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672,Low,Yes,FALSE
25812,Divorced,Political,Comedy,Male,38,Primetime,United-States,0.027464672,High,No,FALSE
25172,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672,High,Yes,FALSE
10987,Never-married,Entertainment,Comedy,Female,58,Primetime,United-States,0.027464672,Low,Yes,FALSE
